sequence	16S_rRNA_Count	metadata_NSTI
SV_240_Rhodospirillales	1	0.03399
SV_241_Micrococcales	1	0.025329
SV_242_Alteromonadales	1	0.007932999999999999
SV_243_Pseudomonadales	1	0.007845
SV_244_Campylobacterales	4	0.070547
SV_245_SAR11_clade	1	0.022455000000000003
SV_246_Rickettsiales	1	0.014949
SV_247_Nitriliruptorales	1	0.23405399999999998
SV_248_Flavobacteriales	1	0.252782
SV_249_Cellvibrionales	2	0.046337
SV_24_SAR11_clade	1	0.00015
SV_250_Salinisphaerales	1	0.39761399999999997
SV_251_Flavobacteriales	1	0.387208
SV_252_Rhizobiales	1	0.394214
SV_253_Oceanospirillales	1	0.066101
SV_254_Flavobacteriales	1	0.054252
SV_255_Oceanospirillales	1	0.007629
SV_256_Rickettsiales	1	0.670999
SV_257_Flavobacteriales	1	0.285355
SV_258_Cellvibrionales	2	0.007639
SV_259_Flavobacteriales	2	0.112722
SV_25_Rhodobacterales	1	0.04888
SV_260_Flavobacteriales	1	0.04654
SV_261_SAR11_clade	1	0.027786
SV_262_Order_III	2	0.186478
SV_263_SAR11_clade	1	0.014843
SV_264_Flavobacteriales	1	0.17313699999999999
SV_265_Acidimicrobiales	1	1.0745870000000002
SV_266_Oceanospirillales	1	0.573446
SV_267_SAR11_clade	1	0.053561000000000004
SV_268_Micrococcales	1	0.046769
SV_269_Acidimicrobiales	1	0.9153899999999999
SV_26_Alteromonadales	5	0.007904000000000001
SV_270_Flavobacteriales	1	0.46285200000000004
SV_271_Oceanospirillales	2	0.016564
SV_272_Flavobacteriales	1	0.042835000000000005
SV_273_Rhodobacterales	1	0.00015
SV_274_Rhizobiales	1	0.099535
SV_275_Flavobacteriales	1	0.272346
SV_276_Sphingomonadales	1	0.045898
SV_277_Flavobacteriales	2	0.069726
SV_278_Flavobacteriales	1	0.373303
SV_279_Rhodobacterales	1	0.000101
SV_27_Rhodobacterales	1	0.00015
SV_280_Thiotrichales	2	0.427983
SV_281_Flavobacteriales	2	0.024319
SV_282_Rickettsiales	1	0.09311599999999999
SV_283_SAR11_clade	1	0.007657
SV_284_Puniceicoccales	1	0.030617000000000002
SV_285_Flavobacteriales	1	0.153542
SV_286_Flavobacteriales	1	0.008479
SV_287_Rhodobacterales	1	0.015931999999999998
SV_288_Flavobacteriales	1	0.175629
SV_289_Flavobacteriales	5	0.042231
SV_28_Rhodobacterales	1	0.00015
SV_290_Flavobacteriales	1	0.379965
SV_291_SAR11_clade	1	0.015241
SV_292_Flavobacteriales	1	0.5759489999999999
SV_293_Rhodospirillales	1	0.128874
SV_294_Flavobacteriales	1	0.524105
SV_295_Oceanospirillales	1	0.13205899999999998
SV_296_Oceanospirillales	1	0.007809999999999999
SV_297_SAR11_clade	1	0.07782
SV_298_Flavobacteriales	1	0.159409
SV_299_Burkholderiales	1	0.031812
SV_29_SAR11_clade	1	0.00015
SV_2_Rhodobacterales	1	0.00015
SV_300_Oceanospirillales	2	0.129433
SV_301_Cellvibrionales	1	0.139529
SV_302_Oceanospirillales	1	0.030598
